Όνομα,Latitude,Longitude,Κατηγορία,Κόστος,Ωράριο,Περιγραφή
Νησί Λανγκόγιενε,59.8721,10.7298,Μπάνιο,Δωρεάν με το εισιτήριο Ruter,Φέρι B2 — ΜΟΝΟ ως 30 Αυγούστου!,"Το νησί με την καλύτερη αμμουδιά του Oslofjord, με ρηχά νερά και χώρο για κάμπινγκ. 25 λεπτά με φέρι. — ΚΟΣΤΟΣ: Δωρεάν με το εισιτήριο Ruter — ΩΡΑΡΙΟ: Φέρι B2 — ΜΟΝΟ ως 30 Αυγούστου! — ΚΟΛΠΟ: ΠΡΟΣΟΧΗ: το φέρι B2 σταματά στις 30 Αυγούστου. Αν το θέλετε, πρέπει ως το Σάββατο 29 / Κυριακή 30. — ★ Διαμάντι"
Παραλία Huk (Bygdøy),59.8935,10.6787,Μπάνιο,Δωρεάν,—,"Η κύρια παραλία του Όσλο, στην άκρη της χερσονήσου Bygdøy: γρασίδι, βράχια, άμμος και θέα στο φιόρδ. Έχει και τμήμα γυμνιστών, σαφώς σημασμένο. — ΚΟΣΤΟΣ: Δωρεάν — ΚΟΛΠΟ: Συνδυάζεται τέλεια με τα μουσεία του Bygdøy — μπάνιο μετά τον Fram."
Λίμνη Σόγκνσβαν,59.97,10.728,Φύση & Θέα,Δωρεάν (μέσα στη ζώνη 1),—,"Τέρμα της γραμμής 3 του μετρό και ξαφνικά είσαι σε αλπική λίμνη μέσα στο δάσος Nordmarka. Επίπεδο μονοπάτι 3,3 χλμ γύρω-γύρω, οι ντόπιοι κάνουν μπάνιο και μπάρμπεκιου. — ΚΟΣΤΟΣ: Δωρεάν (μέσα στη ζώνη 1) — ΚΟΛΠΟ: ΜΗΔΕΝ εξοπλισμός χρειάζεται — είναι στρωμένο μονοπάτι, το κάνεις με sneakers σε 1 ώρα. — ★ Διαμάντι"
Θέα Βεττακόλεν,59.9743,10.7098,Φύση & Θέα,Δωρεάν,—,"Η καλύτερη πανοραμική θέα του Όσλο και του φιόρδ, από γυμνό βράχο. Ανηφόρα 25–35 λεπτά από τη στάση του μετρό, μέσα από δάσος. — ΚΟΣΤΟΣ: Δωρεάν — ΚΟΛΠΟ: Metro γραμμή 1 ως Vettakollen. Απότομο αλλά σύντομο — δεν θέλει εξοπλισμό, μόνο κλειστά παπούτσια. — ★ Διαμάντι"
Frognerseteren,59.9808,10.6707,Φύση & Θέα,Δωρεάν θέα · καφενείο ~120 NOK,11:00–22:00 το εστιατόριο,"Τέρμα της γραμμής 1, 470 μέτρα υψόμετρο. Ξύλινο σαλέ του 1890 με θέα σε όλη την πόλη και τη διάσημη σοκολάτα-πάστα «Frognerseterkake». — ΚΟΣΤΟΣ: Δωρεάν θέα · καφενείο ~120 NOK — ΩΡΑΡΙΟ: 11:00–22:00 το εστιατόριο — ΚΟΛΠΟ: Κατέβα με τα πόδια ως το Holmenkollen (30′ κατηφόρα μέσα στο δάσος) — τα κάνεις και τα δύο μαζί."
Πλωτή σάουνα KOK,59.9046,10.75,Σάουνα,~250–350 NOK/άτομο (drop-in),Ανάλογα κρατήσεις,"Ξύλινη σάουνα πάνω σε σχεδία μέσα στο λιμάνι: ζεσταίνεσαι στους 90°C και βουτάς κατευθείαν στο παγωμένο φιόρδ, με θέα στην Όπερα. Το πιο νορβηγικό πράγμα που υπάρχει. — ΚΟΣΤΟΣ: ~250–350 NOK/άτομο (drop-in) — ΩΡΑΡΙΟ: Ανάλογα κρατήσεις — ΚΟΛΠΟ: Κλείσε online μέρες πριν, γεμίζει. Το drop-in στο Sukkerbiten είναι φθηνότερο από το ιδιωτικό. — ★ Διαμάντι"
REMA 1000 (σούπερ μάρκετ),59.9247,10.7327,Σούπερ μάρκετ,Το φθηνότερο δίκτυο,Δευ–Σάβ 07:00–23:00 · Κυρ κλειστά ή περιορισμένα,Το φθηνότερο σούπερ μάρκετ της Νορβηγίας μαζί με το KIWI. 6 λεπτά με τα πόδια από το σπίτι. — ΚΟΣΤΟΣ: Το φθηνότερο δίκτυο — ΩΡΑΡΙΟ: Δευ–Σάβ 07:00–23:00 · Κυρ κλειστά ή περιορισμένα — ΚΟΛΠΟ: ΚΥΡΙΑΚΗ ΤΑ ΠΕΡΙΣΣΟΤΕΡΑ ΚΛΕΙΝΟΥΝ. Ψώνισε Σάββατο.
KIWI (σούπερ μάρκετ),59.9268,10.7378,Σούπερ μάρκετ,Φθηνό,Δευ–Σάβ 07:00–23:00,"Πράσινη αλυσίδα, από τις φθηνότερες. Έχει έκπτωση 30% σε φρούτα/λαχανικά κάθε μέρα και καλά έτοιμα σάντουιτς. — ΚΟΣΤΟΣ: Φθηνό — ΩΡΑΡΙΟ: Δευ–Σάβ 07:00–23:00 — ΚΟΛΠΟ: Ψάξε τα κίτρινα αυτοκόλλητα έκπτωσης στα κρέατα το βράδυ — μέχρι −50%."
Vinmonopolet (κάβα κράτους),59.9223,10.7565,Σούπερ μάρκετ,Το ΜΟΝΟ μέρος για κρασί/ποτά,Δευ–Παρ 10:00–18:00 · Σάβ 10:00–16:00 · ΚΥΡΙΑΚΗ ΚΛΕΙΣΤΑ,"Κρατικό μονοπώλιο: οτιδήποτε πάνω από 4,7% αλκοόλ πωλείται ΜΟΝΟ εδώ. Στα σούπερ μάρκετ βρίσκεις μόνο ελαφριά μπύρα, και ούτε αυτή μετά τις 20:00 (18:00 το Σάββατο). — ΚΟΣΤΟΣ: Το ΜΟΝΟ μέρος για κρασί/ποτά — ΩΡΑΡΙΟ: Δευ–Παρ 10:00–18:00 · Σάβ 10:00–16:00 · ΚΥΡΙΑΚΗ ΚΛΕΙΣΤΑ — ΚΟΛΠΟ: ΚΡΙΣΙΜΟ: Κυριακή είναι κλειστά και τα σούπερ μάρκετ δεν πουλάνε μπύρα μετά τις 20:00. Προμηθεύσου νωρίς. — ★ Διαμάντι"
Πλαγιά Έκεμπεργκ,59.8992,10.7638,Φύση & Θέα,Δωρεάν,—,"Η πλαγιά κάτω από το Ekebergparken, με ανοιχτή θέα σε όλο το Όσλο και το φιόρδ. Λιγότερος κόσμος από το πάρκο πάνω. — ΚΟΣΤΟΣ: Δωρεάν — ΚΟΛΠΟ: Συνδυάζεται με το Ekebergparken — ίδιο τραμ, λίγο πιο κάτω. — Πρόταση: Συνάδελφος — (Το σημείο είναι κατά προσέγγιση)"
Πάρκο Σκόγιεν,59.9222,10.68,Φύση & Θέα,Δωρεάν,—,"Ήσυχο πάρκο γειτονιάς στο Skøyen, δυτικά. Μόλις 164 κριτικές — μέρος που ξέρουν μόνο οι ντόπιοι. — ΚΟΣΤΟΣ: Δωρεάν — ΚΟΛΠΟ: Στον δρόμο προς/από το Bygdøy. Καλό για ανάσα μακριά από τουρίστες. — Πρόταση: Συνάδελφος — (Το σημείο είναι κατά προσέγγιση)"
Paraplyen — περίπτερο & ξύλινη γέφυρα,59.927,10.702,Αξιοθέατα,Δωρεάν,—,"Περίπτερο με σκεπή σαν ομπρέλα και ξύλινη γέφυρα, στην περιοχή του Frogner. Ανακατασκευασμένο, με μόλις 17 κριτικές αλλά βαθμολογία 4,8 — κρυφό διαμάντι. — ΚΟΣΤΟΣ: Δωρεάν — ΚΟΛΠΟ: Στη διαδρομή του πάρκου Vigeland. Ρώτησε τη συνάδελφο για το ακριβές σημείο. — Πρόταση: Συνάδελφος — (Το σημείο είναι κατά προσέγγιση)"
Den Glade Gris,59.9184,10.7375,Φαγητό,300–700 NOK,Δείπνο,"«Το Χαρούμενο Γουρούνι» — gastropub με παραδοσιακή νορβηγική κουζίνα, 5.397 κριτικές με 4,6. Από τα πιο αγαπημένα της πόλης. — ΚΟΣΤΟΣ: 300–700 NOK — ΩΡΑΡΙΟ: Δείπνο — ΚΟΛΠΟ: ΕΙΝΑΙ ΣΤΟΝ ΔΡΟΜΟ ΣΑΣ: St. Olavs gate 33, ίδιος ταχυδρομικός κώδικας 0166 με το σπίτι. 5 λεπτά με τα πόδια. — ★ Διαμάντι — Πρόταση: Συνάδελφος"
Dim Sum Oslo,59.9122,10.735,Φαγητό,300–900 NOK,Μεσημέρι & βράδυ,"Κινέζικο dim sum με κοκτέιλ μπαρ, στο κέντρο (Tordenskiolds gate). Το ακριβότερο της λίστας της συναδέλφου. — ΚΟΣΤΟΣ: 300–900 NOK — ΩΡΑΡΙΟ: Μεσημέρι & βράδυ — ΚΟΛΠΟ: Καλό για μια βραδιά που θέλετε να ξεφύγετε από τα νορβηγικά. Παράγγειλε πολλά μικρά για μοίρασμα. — Πρόταση: Συνάδελφος"
Ροντελόκα,59.9275,10.769,Αξιοθέατα,Δωρεάν,—,"Μικρή γειτονιά με χρωματιστά ξύλινα σπίτια του 1800, βόρεια της Grünerløkka. Γλίτωσε από την κατεδάφιση τη δεκαετία του 70 χάρη σε κατάληψη κατοίκων. Σχεδόν μηδέν τουρίστες. — ΚΟΣΤΟΣ: Δωρεάν — ΚΟΛΠΟ: Το δεύτερο Damstredet, αλλά χωρίς κόσμο. Συνδυάζεται με βόλτα στη Grünerløkka. — ★ Διαμάντι — Πρόταση: Συνάδελφος"
Καθεδρικός Ναός Όσλο,59.9128,10.7443,Αξιοθέατα,Δωρεάν,10:00–16:00,"Ο καθεδρικός του 1697 στην πλατεία Stortorvet, με εντυπωσιακή ζωγραφισμένη οροφή και βιτρό του Emanuel Vigeland — αδελφού του γλύπτη. — ΚΟΣΤΟΣ: Δωρεάν — ΩΡΑΡΙΟ: 10:00–16:00 — ΚΟΛΠΟ: Δωρεάν είσοδος, 15 λεπτά. Πάνω στην Karl Johans, το περνάτε ούτως ή άλλως. — Πρόταση: Συνάδελφος"
Gråbein,59.9195,10.766,Bars,200–300 NOK,Απόγευμα–αργά,"Μπαρ-καφενείο γειτονιάς ανάμεσα σε Tøyen και Grünerløkka. 4,7 με 285 κριτικές — αγαπημένο των ντόπιων, όχι στα τουριστικά. — ΚΟΣΤΟΣ: 200–300 NOK — ΩΡΑΡΙΟ: Απόγευμα–αργά — ΚΟΛΠΟ: Λειτουργεί και ως καφέ τη μέρα. Καλό για ήσυχο ποτό. — Πρόταση: Συνάδελφος — (Το σημείο είναι κατά προσέγγιση)"
Meyers Bar,59.9205,10.7562,Bars,100–200 NOK,Απόγευμα–αργά,"Κοκτέιλ μπαρ στην καρδιά της Grünerløkka (Thorvald Meyers gate 25), από τα φθηνότερα της λίστας. — ΚΟΣΤΟΣ: 100–200 NOK — ΩΡΑΡΙΟ: Απόγευμα–αργά — ΚΟΛΠΟ: Στον ίδιο δρόμο με το Nedre Løkka — τα κάνετε και τα δύο σε μία βραδιά. — Πρόταση: Συνάδελφος"
Oslo Mekaniske Verksted,59.9124,10.7638,Bars,100–200 NOK,Απόγευμα–αργά,"Μπαρ σε παλιό μηχανουργείο στο Tøyenbekken, με αυλή και μηδέν διακόσμηση-για-τουρίστες. 2.002 κριτικές — θεσμός της σκηνής του Grønland. — ΚΟΣΤΟΣ: 100–200 NOK — ΩΡΑΡΙΟ: Απόγευμα–αργά — ΚΟΛΠΟ: Από τα πιο αυθεντικά μπαρ του Όσλο. Η αυλή το καλοκαίρι γεμίζει. — ★ Διαμάντι — Πρόταση: Συνάδελφος"
Οι δύο δρόμοι της Grünerløkka,59.9238,10.7565,Αξιοθέατα,Δωρεάν,—,"Οι δύο παράλληλοι κεντρικοί δρόμοι της Grünerløkka. Η Markveien έχει τα vintage και τα ανεξάρτητα μαγαζιά· η Thorvald Meyers gate τα καφέ, τα μπαρ και το τραμ. — ΚΟΣΤΟΣ: Δωρεάν — ΚΟΛΠΟ: Κατέβα τη μία και ανέβα την άλλη — έτσι βλέπεις όλη τη γειτονιά σε μία βόλτα. — Πρόταση: Συνάδελφος"
Angst,59.9152,10.7509,Bars,100–200 NOK,Απόγευμα–αργά,"Μπαρ στην Torggata με έντονο street-art πρόσοψη και ταράτσα. Νεανικό, δυνατή μουσική, φθηνά ποτά για τα δεδομένα του Όσλο. — ΚΟΣΤΟΣ: 100–200 NOK — ΩΡΑΡΙΟ: Απόγευμα–αργά — ΚΟΛΠΟ: Δίπλα στο Crowbar και στο Himkok — όλα σε 200 μέτρα. Η Torggata είναι ο δρόμος των μπαρ. — Πρόταση: Συνάδελφος"
SVANEN,59.9228,10.758,Bars,100–200 NOK,Απόγευμα–αργά,"Κοκτέιλ μπαρ με 4,5 σε 856 κριτικές και τιμές κάτω από τον μέσο όρο της πόλης για κοκτέιλ. — ΚΟΣΤΟΣ: 100–200 NOK — ΩΡΑΡΙΟ: Απόγευμα–αργά — ΚΟΛΠΟ: Φθηνότερο από το Himkok για κοκτέιλ, αν το θέλετε πιο χαλαρά. — Πρόταση: Συνάδελφος — (Το σημείο είναι κατά προσέγγιση)"
Nedre Løkka,59.925,10.7592,Bars,100–200 NOK,Απόγευμα–αργά,"Κοκτέιλ μπαρ και lounge στη Thorvald Meyers gate 89, στη βόρεια Grünerløkka. — ΚΟΣΤΟΣ: 100–200 NOK — ΩΡΑΡΙΟ: Απόγευμα–αργά — ΚΟΛΠΟ: Στην ίδια πλευρά με το RØØR και το Territoriet — τέλεια τριάδα για μια βραδιά. — Πρόταση: Συνάδελφος"
Ugly Duckling,59.9158,10.7515,Φαγητό,200–300 NOK,Μεσημέρι–βράδυ,"Μικρό μαγαζί στην Torggata με gourmet σάντουιτς και ψητά τυριά. Μόλις 141 κριτικές αλλά 4,5 — τοπικό μυστικό. — ΚΟΣΤΟΣ: 200–300 NOK — ΩΡΑΡΙΟ: Μεσημέρι–βράδυ — ΚΟΛΠΟ: Φθηνό και χορταστικό γεύμα στο κέντρο, χωρίς να μπεις σε εστιατόριο. — Πρόταση: Συνάδελφος — (Το σημείο είναι κατά προσέγγιση)"
Μουσείο Kistefos & «The Twist»,60.247,10.357,Μουσεία,200 NOK + 500 NOK λεωφορείο,24 Αυγ–11 Οκτ: Τρί–Παρ 11:00–17:00 · Σαβ/Κυρ 10:00–17:00 · ΔΕΥΤΕΡΑ ΚΛΕΙΣΤΑ,"Το «The Twist» — γκαλερί-γέφυρα που στρίβει 90 μοίρες πάνω από ποτάμι, από τα πιο φωτογραφημένα κτίρια της Σκανδιναβίας. Γύρω, πάρκο γλυπτικής με Anish Kapoor, Olafur Eliasson, Fernando Botero, μέσα σε δάσος και καταρράκτες. — ΚΟΣΤΟΣ: 200 NOK + 500 NOK λεωφορείο — ΩΡΑΡΙΟ: 24 Αυγ–11 Οκτ: Τρί–Παρ 11:00–17:00 · Σαβ/Κυρ 10:00–17:00 · ΔΕΥΤΕΡΑ ΚΛΕΙΣΤΑ — ΚΟΛΠΟ: ΔΕΝ ΕΙΝΑΙ ΣΤΟ ΟΣΛΟ — είναι στο Jevnaker, 1,5 ώρα βόρεια. Λεωφορείο VY66 από τον σταθμό λεωφορείων, 250 NOK η διαδρομή, ΜΟΝΟ Πέμ–Κυρ και ΜΟΝΟ με προκράτηση στο vybuss.no. Αναχώρηση 10:15, επιστροφή 16:50. — ★ Διαμάντι — Πρόταση: Συνάδελφος"
Κεντρικός Σταθμός,59.9111,10.7503,Μεταφορές,—,—,"Ο κόμβος των πάντων: τρένα αεροδρομίου, υπεραστικά, μετρό, τραμ. Από εδώ φεύγει και το τρένο για Flåm και Fredrikstad. — ΚΟΛΠΟ: Μετά τα μεσάνυχτα η περιοχή γύρω από τον σταθμό θέλει λίγη προσοχή."
Προβλήτα φέρι Aker brygge,59.9101,10.7302,Μεταφορές,Με το εισιτήριο Ruter,—,"Από εδώ φεύγουν τα φέρι για τα νησιά (B1, B2) και το καλοκαιρινό για Drøbak (B22). — ΚΟΣΤΟΣ: Με το εισιτήριο Ruter — ΚΟΛΠΟ: Τα νησιωτικά φέρι μπαίνουν στο κανονικό εισιτήριο. Το Drøbak θέλει επιπλέον ζώνες."
Σταθμός Nationaltheatret,59.9145,10.7331,Μεταφορές,—,—,"Ο πιο βολικός σταθμός για το κέντρο, με μετρό, τραμ και μερικά Flytoget. — ΚΟΛΠΟ: Από εδώ πιάνεις το μετρό 1 για Holmenkollen/Frognerseteren."
Αεροδρόμιο Gardermoen,60.1939,11.1004,Μεταφορές,Vy τρένο ~124 NOK · Flytoget 243 NOK,—,"47 χλμ βόρεια της πόλης. Το τρένο Vy κάνει 25–30 λεπτά και κοστίζει τα μισά από το «express» Flytoget που κάνει 19. — ΚΟΣΤΟΣ: Vy τρένο ~124 NOK · Flytoget 243 NOK — ΚΟΛΠΟ: ΠΑΡΕ VY, ΟΧΙ FLYTOGET. Γλιτώνεις ~120 NOK/άτομο για 6 λεπτά διαφορά."
